2026-04-01 11:02:24 [info     ] cgu_collector_init             num_keys=7 rpm_per_key=400 total_rpm=2800
2026-04-01 11:03:46 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023OB800031 retry=1 status=401
2026-04-01 11:03:47 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE816975 retry=1 status=401
2026-04-01 11:03:47 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NS101384 retry=1 status=401
2026-04-01 11:03:48 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE876351 retry=1 status=401
2026-04-01 11:03:48 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800029 retry=1 status=401
2026-04-01 11:03:49 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021OB800258 retry=1 status=401
2026-04-01 11:03:49 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NS003742 retry=2 status=401
2026-04-01 11:03:49 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023OB800031 retry=2 status=401
2026-04-01 11:03:50 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE816978 retry=1 status=401
2026-04-01 11:03:50 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NS101474 retry=1 status=401
2026-04-01 11:03:51 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE876351 retry=2 status=401
2026-04-01 11:03:51 [warning  ] rate_limit_or_auth_retry       codigo=160536000012020NE800455 retry=1 status=401
2026-04-01 11:03:52 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NS003730 retry=1 status=401
2026-04-01 11:03:52 [warning  ] rate_limit_or_auth_retry       codigo=160350000012021NS000521 retry=1 status=401
2026-04-01 11:03:52 [warning  ] rate_limit_or_auth_retry       codigo=160536000012021OB800337 retry=1 status=401
2026-04-01 11:03:53 [warning  ] rate_limit_or_auth_retry       codigo=160069000012021OB801689 retry=1 status=401
2026-04-01 11:03:54 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023OB800256 retry=1 status=401
2026-04-01 11:03:54 [warning  ] rate_limit_or_auth_retry       codigo=110594000012024OB000361 retry=1 status=401
2026-04-01 11:03:55 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811130 retry=1 status=401
2026-04-01 11:03:55 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811104 retry=1 status=401
2026-04-01 11:03:56 [warning  ] rate_limit_or_auth_retry       codigo=170860000012020NE800683 retry=1 status=401
2026-04-01 11:03:56 [warning  ] rate_limit_or_auth_retry       codigo=170860000012020OB801222 retry=1 status=401
