codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
202342150010,2023,Emenda Individual - Transferências com Finalidade Definida,VIVI REIS,VIVI REIS,0010,Nacional,Agricultura,Desenvolvimento tecnológico e engenharia,"244.371,26","0,00","0,00","47.478,75","0,00","196.892,51"
202328620003,2023,Emenda Individual - Transferências com Finalidade Definida,BOHN GASS,BOHN GASS,0003,RIO GRANDE DO SUL (UF),Agricultura,Difusão do conhecimento científico e tecnológico,"244.378,64","238.878,64","59.210,64","0,00","0,00","185.168,00"
202339130004,2023,Emenda Individual - Transferências com Finalidade Definida,ANDRE FERREIRA,ANDRE FERREIRA,0004,Nacional,Defesa nacional,Defesa terrestre,"244.379,36","46.603,99","46.603,99","4.429,49","0,00","193.345,88"
202327110004,2023,Emenda Individual - Transferências com Finalidade Definida,AGUINALDO RIBEIRO,AGUINALDO RIBEIRO,0004,JOÃO PESSOA - PB,Direitos da cidadania,"Direitos individuais, coletivos e difusos","244.380,00","244.380,00","244.380,00","0,00","0,00","0,00"
202327690007,2023,Emenda Individual - Transferências com Finalidade Definida,ZE SILVA,ZE SILVA,0007,SÃO PAULO (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202314080014,2023,Emenda Individual - Transferências com Finalidade Definida,PATRUS ANANIAS,PATRUS ANANIAS,0014,MINAS GERAIS (UF),Direitos da cidadania,"Direitos individuais, coletivos e difusos","244.381,00","0,00","0,00","0,00","0,00","244.381,00"
202390320004,2023,Emenda Individual - Transferências com Finalidade Definida,RUI FALCAO,RUI FALCAO,0004,SÃO PAULO (UF),Desporto e lazer,Desporto de rendimento,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202340380016,2023,Emenda Individual - Transferências Especiais,MARA ROCHA,MARA ROCHA,0016,ACRE (UF),Encargos especiais,Outras transferências,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202337350001,2023,Emenda Individual - Transferências com Finalidade Definida,NILTO TATTO,NILTO TATTO,0001,Nacional,Saúde,Desenvolvimento científico,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202327990010,2023,Emenda Individual - Transferências com Finalidade Definida,ELI CORREA FILHO,ELI CORREA FILHO,0010,SÃO PAULO - SP,Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202313490007,2023,Emenda Individual - Transferências com Finalidade Definida,AECIO NEVES,AECIO NEVES,0007,MINAS GERAIS (UF),Assistência social,Assistência comunitária,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202325200011,2023,Emenda Individual - Transferências com Finalidade Definida,CARLOS ZARATTINI,CARLOS ZARATTINI,0011,SÃO PAULO (UF),Educação,Ensino profissional,"244.381,00","0,00","0,00","0,00","0,00","244.381,00"
202339770003,2023,Emenda Individual - Transferências com Finalidade Definida,ENRICO MISASI,ENRICO MISASI,0003,SÃO PAULO (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202328670007,2023,Emenda Individual - Transferências com Finalidade Definida,MARCON,MARCON,0007,RIO GRANDE DO SUL (UF),Agricultura,Promoção da produção agropecuária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202340380015,2023,Emenda Individual - Transferências com Finalidade Definida,MARA ROCHA,MARA ROCHA,0015,PLÁCIDO DE CASTRO - AC,Defesa nacional,Assistência comunitária,"244.381,00","234.606,00","234.606,00","0,00","8.188,00","1.587,00"
202340330002,2023,Emenda Individual - Transferências com Finalidade Definida,LUCAS REDECKER,LUCAS REDECKER,0002,RIO GRANDE DO SUL (UF),Cultura,Difusão cultural,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202329790007,2023,Emenda Individual - Transferências com Finalidade Definida,FABIO REIS,FABIO REIS,0007,Nacional,Segurança pública,Policiamento,"244.381,00","0,00","0,00","0,00","0,00","244.381,00"
202342150015,2023,Emenda Individual - Transferências com Finalidade Definida,VIVI REIS,VIVI REIS,0015,PARÁ (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202337690007,2023,Emenda Individual - Transferências com Finalidade Definida,TEREZA CRISTINA,TEREZA CRISTINA,0007,MATO GROSSO DO SUL (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202341300019,2023,Emenda Individual - Transferências com Finalidade Definida,SAMIA BOMFIM,SAMIA BOMFIM,0019,SÃO PAULO (UF),Segurança pública,Policiamento,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202339170003,2023,Emenda Individual - Transferências com Finalidade Definida,BENES LEOCADIO,BENES LEOCADIO,0003,RIO GRANDE DO NORTE (UF),Educação,Ensino superior,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202337690004,2023,Emenda Individual - Transferências com Finalidade Definida,TEREZA CRISTINA,TEREZA CRISTINA,0004,MATO GROSSO DO SUL (UF),Assistência social,Assistência comunitária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202339170013,2023,Emenda Individual - Transferências com Finalidade Definida,BENES LEOCADIO,BENES LEOCADIO,0013,RIO GRANDE DO NORTE (UF),Indústria,Promoção industrial,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202314080008,2023,Emenda Individual - Transferências com Finalidade Definida,PATRUS ANANIAS,PATRUS ANANIAS,0008,MINAS GERAIS (UF),Agricultura,Promoção da produção agropecuária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202337690006,2023,Emenda Individual - Transferências com Finalidade Definida,TEREZA CRISTINA,TEREZA CRISTINA,0006,SÃO PAULO (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202331600008,2023,Emenda Individual - Transferências com Finalidade Definida,CELSO RUSSOMANNO,CELSO RUSSOMANNO,0008,SÃO PAULO (UF),Assistência social,Assistência comunitária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202328620007,2023,Emenda Individual - Transferências com Finalidade Definida,BOHN GASS,BOHN GASS,0007,Nacional,Agricultura,Promoção da produção agropecuária,"244.381,00","0,00","0,00","10.998,00","0,00","233.383,00"
202328120001,2023,Emenda Individual - Transferências com Finalidade Definida,PR. MARCO FELICIANO,PR. MARCO FELICIANO,0001,ORLÂNDIA - SP,Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202327640015,2023,Emenda Individual - Transferências com Finalidade Definida,PADRE JOAO,PADRE JOAO,0015,MINAS GERAIS (UF),Educação,Ensino superior,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202312180007,2023,Emenda Individual - Transferências com Finalidade Definida,GONZAGA PATRIOTA,GONZAGA PATRIOTA,0007,PERNAMBUCO (UF),Saúde,Suporte profilático e terapêutico,"244.381,00","0,00","0,00","244.381,00","0,00","0,00"
202339000003,2023,Emenda Individual - Transferências com Finalidade Definida,ADRIANO DO BALDY,ADRIANO DO BALDY,0003,GOIÁS (UF),Saúde,Assistência hospitalar e ambulatorial,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202316900005,2023,Emenda Individual - Transferências com Finalidade Definida,RENILDO CALHEIROS,RENILDO CALHEIROS,0005,Nacional,Educação,Ensino superior,"244.381,00","0,00","0,00","0,00","0,00","244.381,00"
202327640005,2023,Emenda Individual - Transferências com Finalidade Definida,PADRE JOAO,PADRE JOAO,0005,MINAS GERAIS (UF),Educação,Ensino superior,"244.381,00","221.881,00","221.881,00","22.500,00","0,00","0,00"
202327990016,2023,Emenda Individual - Transferências com Finalidade Definida,ELI CORREA FILHO,ELI CORREA FILHO,0016,PORANGABA - SP,Saúde,Atenção básica,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202339840012,2023,Emenda Individual - Transferências com Finalidade Definida,FERNANDA MELCHIONNA,FERNANDA MELCHIONNA,0012,Nacional,Saúde,Difusão do conhecimento científico e tecnológico,"244.381,00","15,00","15,00","94.381,00","0,00","0,00"
202340100007,2023,Emenda Individual - Transferências com Finalidade Definida,GLAUSTIN DA FOKUS,GLAUSTIN DA FOKUS,0007,GOIÁS (UF),Assistência social,Assistência comunitária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202341670002,2023,Emenda Individual - Transferências com Finalidade Definida,PAULO GUEDES,PAULO GUEDES,0002,MINAS GERAIS (UF),Assistência social,Assistência comunitária,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202339620015,2023,Emenda Individual - Transferências com Finalidade Definida,DR. LEONARDO,DR. LEONARDO,0015,PORTO ESTRELA - MT,Saúde,Atenção básica,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202340380013,2023,Emenda Individual - Transferências Especiais,MARA ROCHA,MARA ROCHA,0013,ACRELÂNDIA - AC,Encargos especiais,Outras transferências,"244.381,00","244.381,00","244.381,00","0,00","0,00","0,00"
202342000006,2023,Emenda Individual - Transferências com Finalidade Definida,RICARDO SILVA,RICARDO SILVA,0006,SÃO PAULO (UF),Desporto e lazer,Desporto comunitário,"244.381,00","244.372,90","244.372,90","8,10","0,00","0,00"
202339520009,2023,Emenda Individual - Transferências com Finalidade Definida,DANIELA DO WAGUINHO,DANIELA DO WAGUINHO,0009,RIO DE JANEIRO (UF),Saúde,Assistência hospitalar e ambulatorial,"244.553,00","0,00","0,00","0,00","0,00","244.553,00"
202390600006,2023,Emenda Individual - Transferências com Finalidade Definida,CAPITAO DERRITE,CAPITAO DERRITE,0006,SÃO PAULO (UF),Saúde,Atenção básica,"244.566,00","244.566,00","244.566,00","0,00","0,00","0,00"
202339940005,2023,Emenda Individual - Transferências com Finalidade Definida,GENERAL GIRAO,GENERAL GIRAO,0005,RIO GRANDE DO NORTE (UF),Assistência social,Assistência comunitária,"245.022,00","100.022,00","100.022,00","145.000,00","0,00","0,00"
202339190012,2023,Emenda Individual - Transferências com Finalidade Definida,BIA KICIS,BIA KICIS,0012,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos","247.332,00","0,00","0,00","0,00","0,00","247.332,00"
202339080001,2023,Emenda Individual - Transferências com Finalidade Definida,ALEXANDRE PADILHA,ALEXANDRE PADILHA,0001,SÃO PAULO (UF),Educação,Ensino superior,"247.639,00","173.623,40","143.899,35","15.556,25","0,00","88.183,40"
202323880002,2023,Emenda Individual - Transferências com Finalidade Definida,CLEBER VERDE,CLEBER VERDE,0002,MARANHÃO (UF),Agricultura,Difusão do conhecimento científico e tecnológico,"248.015,47","151.508,12","20.339,76","38.468,00","0,00","189.207,71"
202341510012,2023,Emenda Individual - Transferências com Finalidade Definida,JOENIA WAPICHANA,JOENIA WAPICHANA,0012,RORAIMA (UF),Agricultura,Abastecimento,"248.070,28","0,00","0,00","3.058,00","0,00","245.012,28"
202337790012,2023,Emenda Individual - Transferências Especiais,WALTER ALVES,WALTER ALVES,0012,RIO GRANDE DO NORTE (UF),Encargos especiais,Outras transferências,"248.369,00","248.369,00","248.369,00","0,00","0,00","0,00"
202316900010,2023,Emenda Individual - Transferências com Finalidade Definida,RENILDO CALHEIROS,RENILDO CALHEIROS,0010,Nacional,Educação,Ensino superior,"248.369,00","248.369,00","248.369,00","0,00","0,00","0,00"
202313380009,2023,Emenda Individual - Transferências com Finalidade Definida,PAULO RAMOS,PAULO RAMOS,0009,RIO DE JANEIRO (UF),Cultura,Difusão cultural,"248.369,00","248.369,00","248.369,00","0,00","0,00","0,00"
202340440003,2023,Emenda Individual - Transferências com Finalidade Definida,MARILIA ARRAES,MARILIA ARRAES,0003,PERNAMBUCO (UF),Saúde,Assistência hospitalar e ambulatorial,"248.394,00","248.394,00","248.394,00","0,00","0,00","0,00"
202328610008,2023,Emenda Individual - Transferências com Finalidade Definida,DANRLEI DE DEUS HINTERHOLZ,DANRLEI DE DEUS HINTERHOLZ,0008,RIO GRANDE DO SUL (UF),Desporto e lazer,Desporto comunitário,"249.000,00","248.999,90","248.999,90","0,10","0,00","0,00"
202350330001,2023,Emenda de Comissão,COM. INTEG NAC DES REGIONAL E DA AMAZONIA - CINDRA,COM. INTEG NAC DES REGIONAL E DA AMAZONIA - CINDRA,0001,Nacional,Direitos da cidadania,Normatização e fiscalização,"249.042,97","0,00","0,00","21.217,97","0,00","227.825,00"
202392190019,2023,Emenda Individual - Transferências com Finalidade Definida,FLAVIO BOLSONARO,FLAVIO BOLSONARO,0019,Nacional,Defesa nacional,Defesa naval,"249.240,76","125.455,59","103.151,45","15.760,00","9.000,00","121.329,31"
202320380009,2023,Emenda Individual - Transferências Especiais,FLAVIO ARNS,FLAVIO ARNS,0009,PARANÁ (UF),Encargos especiais,Outras transferências,"249.346,00","249.346,00","249.346,00","0,00","0,00","0,00"
